UKREIS,UJAHR,UMONAT,UTAG,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP,LICHT,USTRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,@lon,@lat
25,23,3,26,16,1,3,3,6,0,0,1,0,0,0,0,0,14.140496,51.474493
24,23,3,24,16,6,3,5,7,0,0,1,1,0,0,0,0,12.508212,50.678791
13,23,3,24,6,6,3,5,3,0,1,1,1,0,0,0,0,12.40562,51.320015
30,23,3,23,15,5,2,5,3,0,0,1,1,0,0,0,0,13.01712,51.30206
26,23,3,23,15,5,3,0,3,0,1,1,1,0,0,0,0,14.663047,50.988667
26,23,3,23,13,5,2,3,2,0,1,1,1,0,0,0,0,14.960193,51.371258
22,23,3,23,15,5,3,3,2,0,0,1,1,0,0,0,0,13.121773,51.118969
13,23,3,22,18,4,3,5,3,2,0,1,1,0,0,0,0,12.464936,51.307332
28,23,3,22,15,4,2,5,3,0,0,1,1,0,0,0,0,14.123538,51.041217
12,23,3,22,8,4,3,2,6,0,0,1,1,0,0,0,0,13.765316,51.003741
13,23,3,21,20,3,3,5,2,2,1,1,1,0,0,0,0,12.324923,51.33829
12,23,3,21,8,3,3,0,1,0,1,1,0,0,0,0,0,13.735194,51.073386
25,23,3,20,16,2,3,3,2,0,0,1,1,0,0,0,0,14.433335,51.170309
27,23,3,20,15,2,2,5,2,0,0,1,1,0,0,0,0,13.541941,51.147103
12,23,3,20,22,2,3,0,1,2,1,1,0,0,0,0,0,13.681358,51.061844
28,23,3,19,16,1,3,0,1,0,0,1,0,0,0,0,0,13.85594,50.963954
12,23,3,19,3,1,3,0,1,2,0,1,0,0,0,0,0,13.742333,51.064641
29,23,3,18,9,7,3,5,3,0,0,1,1,0,0,0,0,12.49269,51.124706
26,23,3,18,11,7,3,0,1,0,0,1,0,0,0,0,0,14.924326,51.140274
24,23,3,17,11,6,3,0,7,0,0,1,0,0,0,0,0,12.381215,50.716908
23,23,3,17,22,6,2,1,5,2,0,1,1,0,0,0,0,12.107963,50.493041
30,23,3,17,17,6,3,5,3,0,0,1,1,0,0,0,0,12.996218,51.364247
26,23,3,17,15,6,3,5,3,0,0,1,1,0,0,0,0,14.60339,51.34876
28,23,3,17,15,6,2,8,1,0,0,1,0,0,0,0,0,14.121997,50.91292
25,23,3,16,22,5,3,0,7,2,1,1,0,0,0,0,0,14.275906,51.429205
12,23,3,16,12,5,3,5,3,0,0,1,1,0,0,0,0,13.849482,51.061834
12,23,3,16,7,5,2,5,2,0,0,1,1,0,0,0,0,13.828779,51.058545
12,23,3,16,7,5,3,2,6,0,0,1,1,0,0,0,0,13.822269,51.056668
12,23,3,16,17,5,3,5,3,0,0,1,1,0,0,0,0,13.718977,51.096628
24,23,3,29,17,4,3,5,3,0,0,1,1,0,0,0,0,12.574827,50.85532
12,23,3,15,17,4,3,5,3,0,0,1,1,0,0,0,0,13.647127,51.08447
24,23,3,14,13,3,3,2,6,0,0,1,0,0,0,1,0,12.479162,50.71336
13,23,3,13,8,2,3,5,2,0,1,1,1,0,0,0,0,12.39048,51.34699
21,23,3,13,8,2,3,5,3,0,0,1,1,0,0,0,0,12.873764,50.776959
22,23,3,13,12,2,3,2,1,0,0,1,1,0,0,0,0,13.348782,50.9222
25,23,3,26,19,1,2,3,2,1,1,1,1,0,0,0,0,14.248915,51.434986
28,23,3,11,21,7,2,0,1,2,0,1,0,0,0,0,0,13.591842,50.9835
29,23,3,10,13,6,3,5,3,0,1,1,1,0,0,0,0,12.280214,51.154618
29,23,3,10,11,6,3,5,3,0,1,1,1,0,0,0,0,12.505099,51.130058
12,23,3,30,9,5,3,5,3,0,0,1,1,0,0,0,0,13.738961,51.065912
26,23,4,6,17,5,3,5,3,0,0,1,1,0,0,0,0,14.637912,51.503508
28,23,3,10,14,6,3,5,3,0,0,1,1,0,0,0,0,13.930753,50.96194
24,23,3,9,6,5,3,2,6,1,0,1,1,0,0,0,0,12.45331,50.739537
24,23,3,9,13,5,3,3,6,0,1,1,1,0,0,0,0,12.474298,50.769429
12,23,4,20,17,5,3,0,1,0,0,1,0,0,0,0,0,13.768674,51.098884
12,23,3,9,7,5,3,5,3,0,1,1,1,0,0,0,0,13.707011,51.0414
13,23,3,8,13,4,3,3,2,0,1,1,0,0,0,0,1,12.35768,51.341811
27,23,3,8,6,4,3,3,6,1,2,1,1,0,0,0,0,13.600033,51.11947
12,23,3,8,14,4,3,5,2,0,1,1,1,0,0,0,0,13.727526,51.084917
24,23,3,7,16,3,2,3,6,0,1,1,1,0,0,0,0,12.595298,50.889609
13,23,3,7,7,3,3,5,2,0,0,1,1,0,0,0,0,12.407993,51.318039
26,23,3,6,18,2,2,4,2,1,1,1,1,0,0,0,0,14.929279,51.020516
